sl no,date,daily travel emission,daily energy emission,daily dietary emission,daily waste emission,daily water emission,daily appliances emission,daily activity emission
1315,2/3/2018,1.351,20,7.071,3.77,4.662,3.535,22.586
1316,10/11/2018,4.981,5,12,4.15,1.451,3.583,43.919
1317,2/1/2018,2.521,10.44,2,3.48,4.6,3.454,34.974
1318,10/2/2018,2.596,12.412,2,2.42,4.752,4.622,46.282
1319,25/10/2018,1,11.022,2.272,3.37,1,4.413,19.777
1320,12/2/2018,3.544,5,7.689,2.38,3.488,1,44.301
1321,27/2/2018,1.921,5,9.971,4.18,1,3.276,18.783
1322,11/2/2018,4.981,9.135,3.079,2.54,1,1,47
1323,28/2/2018,3.388,10.266,8.143,1.52,3.26,1,38.865
1324,9/2/2018,1.402,14.654,2,3.29,1,1.886,29.451
1325,19/6/2018,2.484,5,10.338,2.45,4.053,3.645,19.496
1326,30/10/2018,1,17.923,11.983,2.89,2.602,3.287,23.888
1327,19/6/2018,2.574,16.627,8.28,4.37,3.705,1,17
1328,5/7/2018,2.561,20,2,1.58,4.08,3.586,17
1329,27/2/2018,4.068,5,2,1.42,3.534,5,47
1330,11/2/2018,2.489,6.867,4.95,1.78,1,3.418,31.544
1331,11/2/2018,3.156,10.991,2,3.62,1,2.615,34.448
1332,20/2/2018,2.474,20,2,4.23,2.472,3.768,17
1333,23/2/2018,3.441,12.176,2,3.48,1.498,2.402,20.738
1334,27/2/2018,3.475,5,2,4.65,3.364,1.161,41.663
1335,1/2/2018,2.47,12.302,12,2.44,1.98,1,27.513
1336,17/2/2018,4.587,17.667,12,1.91,1.855,3.523,29.526
1337,3/3/2019,3.004,5,7.357,4.39,1.854,1.778,26.232
1338,27/2/2018,1,14.183,2.603,1,3.517,2.252,30.363
1339,12/2/2018,1.558,10.732,12,4.29,4.33,1.393,47
1340,11/2/2018,2.57,10.547,2.098,3.4,3.538,5,37.71
1341,11/6/2018,3.48,5,10.02,1.51,3.171,3.434,20.302
1342,11/2/2018,3.304,5,11.067,4.2,3.536,3.354,35.958
1343,27/2/2018,1.97,9.318,2,1.59,1,1.391,46.274
1344,23/2/2018,5,14.403,3.159,2.68,1,4.373,46.715
1345,2/2/2018,2.814,5,5.19,3.54,3.947,2.944,43.066
1346,20/2/2018,1,5,9.256,2.83,5,2.768,21.228
1347,28/2/2018,2.763,18.228,2,4.3,1,3.283,47
1348,26/10/2018,4.778,10.29,12,4.61,2.655,4.162,21.257
1349,3/11/2018,5,13.853,2.238,2.42,4.043,4.605,43.76
1350,26/10/2018,4.126,11.308,7.067,3.52,2.48,1.673,20.696
1351,12/2/2018,3.294,10.503,12,3.25,1.403,1,22.028
1352,19/6/2018,2.606,10.976,12,2.54,1,4.705,20.232
1353,20/6/2018,3.662,10.691,8.349,1,2.272,1.164,42.707
1354,27/2/2018,4.975,5,9.254,5,1,5,32.79
1355,15/2/2018,1.81,12.528,12,4.63,1,3.554,23.12
1356,20/2/2018,1,14.847,8.776,1,1,1.849,21.205
1357,18/10/2018,3.178,5,2,1,2.685,4.115,18.385
1358,28/2/2018,1,17.744,7.943,3.48,1.886,3.414,38.035
1359,27/2/2018,1.387,11.656,2,1,3.381,1.081,17
1360,12/2/2018,3.304,5,3.038,3.64,1.675,2.537,17
1361,12/2/2018,3.291,18.214,2,3.43,1,4.355,17
1362,18/6/2018,2.79,10.643,7.683,1.44,4.706,1.926,40.546
1363,18/10/2018,2.638,10.677,2,3.33,1.899,3.745,40.306
1364,9/2/2018,5,16.242,2,3.83,2.654,1.739,19.786
1365,26/2/2018,4.07,6.183,8.502,4.24,1.727,4.687,25.532
1366,27/2/2018,3.513,16.233,7.271,3.28,1.397,3.445,40.865
1367,17/2/2018,4.108,14.803,2,3.27,3.309,4.207,39.237
1368,18/3/2019,2.595,10.463,6.625,4.48,3.941,1,22.854
1369,11/2/2018,2.479,5,12,1.05,2.989,3.475,17
1370,4/2/2018,2.612,20,2,3.39,2.752,4.488,38.216
1371,1/7/2018,2.287,16.179,2,3.62,5,5,35.087
1372,28/2/2018,3.492,20,6.426,3.34,1,1.891,29.337
1373,3/11/2018,1,20,11.849,2.77,1,2.431,17
1374,12/2/2018,1.71,19.479,5.897,2.42,2.491,4.361,33.626
1375,9/1/2018,4.394,15.792,7.062,1.89,4.638,3.291,43.469
1376,25/10/2018,2.652,6.598,2,1,2.635,4.218,34.639
1377,11/2/2018,2.719,5,7.075,3.21,4.48,1.494,20.895
1378,19/6/2018,5,20,11.54,4.62,2.799,2.733,17
1379,28/2/2018,4.343,15.191,11.672,2.75,3.469,1.457,41.143
1380,15/2/2018,3.477,5,2,3.51,3.598,5,20.762
1381,11/2/2018,1,11.889,2,1.53,3.954,1,20.884
1382,11/2/2018,3.54,11.979,2,3.87,2.637,3.381,44.11
1383,28/2/2018,1.374,20,6.558,2.46,2.559,4.388,26.034
1384,3/2/2018,2.514,18.447,2,2.42,4.386,3.6,38.814
1385,12/2/2018,5,20,2,3.55,1.742,3.434,35.649
1386,4/2/2018,3.526,11.122,2,3.48,1,2.589,47
1387,3/2/2018,2.825,14.539,5.951,3.48,4.026,1.842,47
1388,12/2/2018,1,11.015,12,2.63,3.393,3.278,34.813
1389,11/2/2018,3.406,13.777,2,1.44,3.543,3.369,31.223
1390,23/10/2018,3.063,10.302,2,3.88,1.695,2.358,43.222
1391,26/1/2018,2.713,12.294,6.836,2.53,3.538,3.77,47
1392,11/2/2018,2.686,5.92,2,3.93,4.714,1,46.314
1393,11/2/2018,3.432,5,8.357,4.23,3.444,2.508,25.068
1394,26/2/2018,2.482,12.638,2,4.6,1,1.321,22.898
1395,11/2/2018,1.913,16.993,10.564,4.25,5,2.53,47
1396,12/2/2018,3.228,5,2,4.26,2.32,4.468,20.487
1397,20/2/2018,5,13.71,6.571,3.66,4.627,3.348,46.964
1398,8/5/2018,5,12.156,6.366,1.95,1.634,1.345,18.718
1399,12/2/2018,1,5,6.461,3.46,2.856,2.429,17
1400,12/2/2018,4.311,20,2.232,1,1,3.65,47
1401,9/2/2018,1.46,5.681,9.534,3.36,3.048,4.386,37.776
1402,3/3/2018,2.591,10.367,2,2.18,3.364,1.454,33.01
1403,25/2/2018,2.686,5,12,2.91,2.688,2.771,25.908
1404,12/2/2018,3.107,11.52,2,3.29,1,1.738,20.771
1405,11/2/2018,1,11.521,2,1,1.959,5,24.657
1406,4/2/2018,1.987,6.798,8.097,3.13,4.336,2.394,46.62
1407,20/2/2019,4.256,5,12,3.49,2.631,4.511,32.037
1408,3/2/2018,3.026,5,2,1,5,4.402,25.434
1409,11/2/2018,1.839,8.035,5.837,3.44,3.996,1.436,40.457
1410,12/2/2018,1,12.106,4.877,2.3,2.575,3.949,47
1411,11/2/2018,3.295,5,11.723,4.64,4.212,3.312,47
1412,11/2/2018,1,11.189,12,1,1.786,3.64,30.225
1413,12/2/2018,1.347,10.734,3.597,3.68,1.9,3.291,21.906
1414,12/2/2018,1,5,3.261,2.64,2.582,3.589,37.058
1415,4/2/2018,3.31,20,2,3.39,1,4.601,18.091
1416,4/2/2018,2.631,16.924,7.463,2.94,2.601,3.717,17
1417,12/2/2018,1.609,20,4.211,1.43,1.69,1.847,47
1418,5/7/2018,1.267,17.765,12,2.45,3.359,4.181,17
1419,9/2/2018,4.168,10.269,2.862,3.29,3.191,3.728,24.033
1420,19/6/2018,3.661,10.344,12,1,4.67,4.621,45.691
1421,11/2/2018,1,13.452,8.65,3.33,2.533,4.646,17
1422,11/2/2018,3.518,9.954,8.324,1.82,3.141,2.132,30.608
1423,27/2/2018,4.507,14.448,4.183,3.32,3.277,4.074,41.3
1424,12/2/2018,2.474,20,2.429,2.42,4.559,5,43.977
1425,3/2/2018,2.424,5,11.97,4.7,3.358,4.076,35.932
1426,11/2/2018,2.497,5,2,4.17,2.796,3.274,17
1427,11/2/2018,2.49,10.845,3.963,2.42,2.479,5,22.077
1428,3/2/2018,3.314,13.052,12,2.55,4.575,4.136,45.006
1429,26/10/2018,1,11.174,12,3.32,2.507,1.927,47
1430,4/2/2018,4.661,5.495,12,4.48,1.71,1.405,47
1431,27/2/2018,3.516,19.124,3.594,3.4,1.436,4.477,40.222
1432,12/2/2018,3.813,11.295,2,1,1.518,3.952,34.728
1433,12/2/2018,2.857,5,12,4.5,1,1.727,17
1434,11/2/2018,2.045,10.452,8.849,3.27,4.575,1.935,47
1435,2/1/2018,4.311,11.086,12,3.58,1.107,1,19.633
1436,27/2/2018,4.405,5,5.554,4.5,3.407,4.595,21.913
1437,20/2/2018,3.679,20,8.068,4.52,1.506,3.341,46.153
1438,12/2/2018,1,20,6.814,1,4.488,1,34.392
1439,19/2/2018,3.522,10.398,2.728,3.49,2.805,4.44,40.849
1440,12/6/2018,2.462,5.675,6.482,2.38,1,3.785,19.516
1441,3/2/2018,2.464,12.215,5.597,4.34,1.611,1,21.93
1442,11/2/2018,4.047,10.304,11.669,1.6,3.292,1.583,20.22
1443,28/2/2018,2.164,17.127,11.326,2.32,1.759,4.319,47
1444,19/2/2018,4.843,17.757,6.788,4.46,1.765,1.939,17
1445,12/6/2018,2.786,5,8.526,2.2,1.734,3.605,24.249
1446,9/2/2018,3.482,16.53,3.37,3.46,2.528,4.578,38.073
1447,25/2/2018,4.053,5,11.762,4.4,4.557,4.124,17
1448,28/2/2018,2.493,5,7.163,4.68,3.144,4.235,17
1449,28/2/2018,3.389,15.254,5.786,1.88,2.742,1,25.858
1450,1/2/2018,2.495,20,5.391,4.49,1.649,4.465,25.235
1451,27/6/2018,2.571,18.276,2,3.42,3.328,2.924,38.661
1452,3/2/2018,3.376,10.949,2,2.44,2.767,1,17
1453,5/7/2018,2.007,10.53,4.1,2.11,3.267,1,21.199
1454,28/2/2018,1.598,6.079,7.042,4.21,3.003,1.734,32.426
1455,28/2/2018,1,20,2,1,1,4.258,33.359
1456,20/2/2018,5,5,11.118,1,1.786,1.358,47
1457,11/2/2018,2.319,5,3.122,4.13,5,2.947,18.806
1458,4/2/2018,5,5,2.589,3.28,1,4.498,42.415
1459,9/2/2018,4.276,20,2,4.03,1,4.635,33.968
1460,27/2/2018,1.373,5,5.156,1,1.941,1,17
1461,18/2/2018,2.46,17.729,2.782,3.28,3.531,4.68,47
1462,1/5/2018,2.679,20,10.332,3.37,1.906,4.223,47
1463,2/2/2018,3.721,20,11.523,1.65,4.548,4.425,47
1464,10/2/2018,2.559,11.735,6.162,3.44,3.344,4.26,39.354
1465,3/11/2018,3.022,15.284,2,4.43,4.667,2.573,20.266
1466,28/2/2018,2.467,14.429,2,1,3.483,3.6,44.781
1467,27/2/2018,2.479,5,5.913,3.44,1,3.009,22.566
1468,11/11/2018,4.545,10.678,2,3.39,1.868,1,17
1469,11/2/2018,2.94,10.672,2,3.34,4.6,5,30.472
1470,27/2/2018,2.072,10.797,9.152,3.4,1.204,1,24.135
1471,25/2/2019,5,5,12,1.84,1.901,3.461,43.961
1472,12/2/2018,5,5,2,3.14,3.216,1.455,33.868
1473,17/2/2018,4.063,15.512,3.568,1.41,4.12,1.575,27.176
1474,19/6/2018,4.577,5,12,3.19,1,4.225,20.734
1475,25/2/2018,2.466,20,2,3.28,1,4.57,45.486
1476,11/2/2018,1,13.1,6.655,3.28,1.883,2.137,47
1477,28/6/2018,4.142,20,11.341,1.42,3.157,4.66,36.98
1478,12/2/2018,2.714,6.255,4.645,3.95,1.022,5,23.959
1479,12/6/2018,5,7.379,11.828,2.45,3.648,1.953,42.092
1480,10/2/2018,2.641,20,3.4,1,3.316,5,39.915
1481,1/2/2018,3.338,5,8.468,4.77,3.807,3.89,23.315
1482,28/2/2018,1.444,5,2,3.37,1.111,3.482,20.866
1483,28/2/2018,3.418,5,9.493,3.45,4.312,4.55,24.655
1484,9/2/2018,5,15.829,6.059,1.39,4.826,5,47
1485,3/2/2018,3.29,20,12,1.43,2.792,1,36.626
1486,12/2/2018,2.868,9.503,9.738,3.22,1.464,3.599,27.626
1487,11/2/2018,2.829,7.886,10.195,3.9,2.892,1,43.971
1488,25/10/2018,4.031,5,12,4.28,2.789,3.432,32.18
1489,15/2/2018,2.541,15.274,5.32,2.05,2.621,4.59,17.109
1490,11/2/2018,2.661,20,2,1.4,3.394,3.929,43.05
1491,3/3/2018,1.561,5,8.63,4.14,3.533,2.107,29.908
1492,10/7/2018,2.7,11.216,2,1.7,4.646,3.617,17
1493,20/2/2018,1.805,9.958,12,1.84,2.935,3.806,17
1494,4/2/2018,2.002,11.085,12,2.63,1,5,17
1495,9/6/2018,4.537,13.137,2,3.56,5,4.579,31.682
1496,10/2/2018,3.127,12.119,2,3.29,1,4.704,20.915
1497,26/2/2018,4.074,20,2,1,1.125,4.678,42.092
1498,12/2/2018,2.58,16.732,2,3.27,1,4.688,22.674
1499,21/10/2018,2.718,10.551,2,4.04,3.44,3.749,42.774
1500,1/2/2018,1.372,9.311,6.698,3.97,1.923,2.02,24.784
1501,27/2/2018,1.684,10.917,7.365,2.71,1.65,3.297,41.885
1502,11/2/2018,3.237,5,12,1.69,2.482,1.409,23.164
1503,28/2/2018,4.594,16.547,2,3.32,4.243,1.944,46.181
1504,11/2/2018,1.383,17.256,12,3.93,4.442,1.635,43.197
1505,20/2/2018,2.56,5,11.664,3.59,2.582,4.66,47
1506,4/2/2018,2.459,20,2,3.27,2.516,3.947,17
1507,27/2/2018,1.362,5,4.648,1,4.618,3.109,20.255
1508,3/2/2018,4.024,5.111,12,1.84,3.031,1,20.406
1509,19/6/2018,1.638,5,11.087,2.61,2.704,3.395,24.398
1510,26/10/2018,3.403,11.216,12,3.59,4.065,4.692,42.761
1511,27/2/2018,4.507,10.275,10.176,3.4,1.222,3.88,21.085
1512,19/6/2018,1.481,11.833,6.176,1.51,1.441,2.724,34.832
1513,11/2/2018,2.593,10.745,11.485,4.17,1.513,1,36.777
1514,11/2/2018,1,5,6.604,1.83,2.502,1,37.554
1515,11/2/2018,2.176,10.622,12,1,1.557,2.056,40.926
1516,20/2/2018,1.353,11.405,12,2.72,2.663,3.338,22.667
1517,11/2/2018,4.523,5.602,12,2.03,3.026,4.533,32.18
1518,11/2/2018,2.521,5,9.558,3.55,1.307,4.495,18.098
1519,4/2/2018,3.535,10.886,7.293,3.36,3.521,4.705,34.628
1520,11/2/2018,3.726,5,2,3.3,2.513,4.636,28.026
1521,26/10/2018,2.709,15.452,8.506,3.87,3.025,1.924,25.035
1522,11/6/2018,5,20,4.768,4,2.195,3.628,35.16
1523,25/10/2018,4.63,5,10.053,2.66,4.407,3.395,41.325
1524,19/6/2018,2.567,10.34,12,1.79,4.17,3.535,17
1525,2/2/2018,1,10.64,12,1,2.024,5,31.521
1526,10/11/2018,1,10.31,10.459,2.08,3.437,3.875,23.001
1527,12/2/2018,2.476,5.722,3.338,5,3.813,3.98,20.223
1528,20/6/2018,2.469,10.51,11.32,5,3.339,3.558,34.94
1529,20/2/2018,1,16.631,7.375,1,4.238,4.8,18.904
1530,20/2/2018,3.183,10.506,12,3.36,1.409,3.433,44.228
1531,25/10/2018,1.684,5,12,3.47,1.807,3.594,37.874
1532,10/11/2018,1.353,5,9.283,2.83,4.174,3.299,19.886
1533,20/2/2018,2.61,20,10.169,2.68,1.645,1.888,24.278
1534,27/2/2018,4.065,5,2,4.57,3.799,3.3,20.162
1535,3/2/2018,3.411,10.478,2.496,4.57,1.738,5,21.974
1536,23/2/2018,2.525,12.667,2.697,5,1.798,2.033,29.974
1537,12/2/2018,2.921,5,12,1.94,1.612,1,17
1538,3/2/2018,3.445,5,2,3.37,2.594,4.168,25.474
1539,9/2/2018,2.492,14.227,2,1.86,1,2.822,17
1540,11/2/2018,5,10.685,2,1.39,4.708,2.599,42.753
1541,13/2/2018,3.3,5,2,2.44,4.719,5,40.425
1542,28/2/2018,1.836,10.304,12,3.7,2.588,4.261,21.047
1543,26/10/2018,3.83,5,12,4.7,1.876,3.53,17
1544,11/6/2018,1,5,12,3.62,1.321,3.997,44.35
1545,27/2/2018,2.835,20,7.659,2.57,1.406,3.851,21.37
1546,2/2/2018,4.221,5.598,2,3.66,4.522,1.018,44.458
1547,11/2/2018,2.462,17.607,2.983,3.35,3.906,3.359,37.807
1548,20/2/2018,5,5,2.091,3.33,4.081,5,20.46
1549,14/2/2018,2.488,8.578,2,3.42,1,2.835,33.829
1550,25/10/2018,1.402,10.268,12,1,1.435,3.872,23.804
1551,11/2/2018,4.196,20,2,3.27,2.457,1.945,46.447
1552,23/6/2018,1.612,11.097,2,1.69,2.638,3.751,17
1553,6/7/2018,2.755,7.686,3.124,3.3,1,1.897,44.607
1554,19/2/2018,2.993,19.95,2,1.39,1.03,3.538,29.096
1555,10/11/2018,1,5,2,1,2.868,3.863,23.391
1556,19/6/2018,1,5,5.564,3.7,3.835,5,27.634
1557,3/2/2018,4.152,13.089,2,1.46,2.941,4.456,24.081
1558,4/2/2018,2.495,12.219,8.363,1.87,4.723,2.575,47
1559,26/10/2018,3.832,5,2,3.31,1,3.63,44.855
1560,11/2/2018,4.43,15.517,3.015,1.45,1.878,2.636,47
1561,12/2/2018,3.365,5,12,4.71,1.263,3.596,32.856
1562,2/2/2018,1.691,11.126,2.93,3.35,1.873,1.952,22.539
1563,11/2/2018,1,20,10.078,3.13,3.414,3.828,23.119
1564,2/2/2018,4.42,5,12,5,2.621,3.108,22.705
1565,12/2/2018,1,20,12,4.34,1,4.528,26.423
1566,12/2/2018,1.685,20,9.814,4.85,5,4.471,26.55
1567,4/2/2018,3.459,15.407,5.093,1.03,1.626,3.52,43.57
1568,27/2/2018,3.342,20,2,1.99,2.994,4.081,43.074
1569,9/2/2018,1,5,2,2.9,4.968,3.858,25.166
1570,3/3/2018,5,11.819,3.853,4.57,1.726,4.098,43.397
1571,28/2/2018,2.495,11.701,5.814,2.52,2.067,3.607,20.254
1572,11/2/2018,4.689,5,2,2.53,1,3.598,47
1573,9/2/2018,2.193,13.274,12,4.69,1.659,1,23.274
1574,3/2/2018,4.053,11.516,12,1.8,2.583,4.217,22.602
1575,27/2/2018,4.195,15.699,6.164,3.37,2.542,1.158,40.865
1576,28/2/2018,4.508,5,4.924,3.44,5,3.604,36.482
1577,23/9/2018,4.14,12.275,10.382,4.44,3.538,1,47
1578,9/2/2018,3.064,5,3.84,2.27,5,4.317,17
1579,3/2/2018,3.298,14.972,5.964,2.46,4.553,4.489,17
1580,25/10/2018,1.632,14.556,2,3.07,1.79,1,22.338
1581,28/2/2018,1,5,12,2.55,3.475,1,18.762
1582,4/2/2018,4.237,5,12,2.33,3.954,1,28.687
1583,3/2/2018,1.569,20,2,3.52,1,3.516,21.502
1584,11/2/2018,3.37,5,9.982,1.55,2.547,5,24.287
1585,23/2/2018,4.629,5.975,2,1.42,1.874,4.469,17
1586,28/2/2018,3.202,5,12,3.79,1.364,3.386,19.993
1587,28/2/2018,2.928,5,2,3.46,1.72,2.479,17
1588,23/9/2018,5,10.315,2,1,1.848,2.961,29.519
1589,3/2/2018,4.18,20,2,3.28,3.921,1.122,17
1590,1/2/2018,3.265,5,12,1.46,4.498,4.448,42.904
1591,16/2/2018,4.476,13.93,7.417,3.44,3.37,3.631,36.277
1592,12/2/2018,1.382,5,8.124,2.6,2.014,3.338,34.634
1593,11/2/2018,1,5,12,2.59,2.84,1,23.299
1594,23/2/2019,3.297,11.741,10.501,1.39,2.19,2.71,22.973
1595,11/2/2018,5,5.797,10.887,1.76,1.901,1.935,42.44
1596,25/10/2018,1,14.411,2,3.36,3.245,1,17
1597,1/2/2018,2.421,20,2,1.39,3.257,1.587,38.875
1598,4/2/2018,3.09,5.598,5.544,4.01,4.428,1.924,47
1599,11/2/2018,2.923,5,10.129,1.44,2.111,4.523,43.735
1600,15/2/2018,2.599,15.969,2,4.43,1.38,2.414,32.878
1601,11/2/2018,1.408,11.122,2,1.76,4.645,3.415,20.848
1602,28/2/2018,1.544,5,12,4.39,1.859,1.76,22.956
1603,27/6/2018,2.615,5,12,3.99,1.471,4.187,26.181
1604,29/10/2018,3.291,13.026,2,3.29,5,4.807,23.97
1605,18/6/2018,1,5,6.436,2.26,1.902,5,20.227
1606,9/2/2018,1.395,5,11.314,3.64,3.516,4.344,41.439
1607,27/2/2018,4.973,5,2,1,3.424,4.429,29.692
1608,25/10/2018,4.064,18.973,12,4.57,3.442,3.959,17
1609,27/2/2018,3.41,13.893,8.284,4.13,4.595,3.287,31.745
1610,11/2/2018,1,7.498,2,3.3,4.302,5,45.233
1611,1/3/2018,1,7.942,5.934,3.44,2.504,4.235,23.673
1612,3/2/2018,3.196,11.672,2,2.46,2.789,3.477,47
1613,19/2/2018,1.615,5,6.833,3.4,5,3.816,47
1614,4/2/2018,2.474,20,2,3.29,2.621,3.38,45.997
1615,25/10/2018,1.428,11.546,5.402,4.24,2.141,1.543,27.31
1616,4/2/2018,1.938,18.703,2,1.03,3.349,4.174,30.389
1617,11/2/2018,1.384,11.319,12,4.33,2.009,1,21.986
1618,19/6/2018,2.661,6.743,5.44,1,3.959,5,33.491
1619,11/2/2018,2.963,5,2,1.32,4.694,5,18.259
1620,11/2/2018,1.412,7.41,12,4.64,1.718,3.303,38.342
1621,4/2/2018,2.512,12.668,12,3.42,3.526,3.643,35.228
1622,2/1/2018,1,15.308,2.189,1.58,3.08,1,47
1623,11/2/2018,3.199,20,2,3.95,3.444,5,47
1624,12/2/2018,1.601,6.835,12,3.32,3.502,4.697,37.941
1625,11/2/2018,1.495,10.877,3.304,3.36,5,4.237,47
1626,14/2/2018,4.156,16.797,2,2.15,3.339,2.5,17
1627,28/2/2019,5,5,2.203,3.82,2.628,3.979,30.98
1628,11/2/2018,1.348,20,2,4.43,3.535,3.44,20.161
1629,3/2/2018,1.347,17.005,11.651,2.52,5,1,27.245
1630,12/6/2018,2.595,13.136,9.73,2.49,2.766,1,17
1631,1/2/2018,2.492,14.123,12,3.36,1.833,5,43.774
1632,18/10/2018,2.751,5,12,4.7,3.986,2.356,17
1633,20/6/2018,2.484,14.392,12,3.11,3.613,3.975,29.147
1634,9/2/2018,1.393,10.31,6.576,3.32,3.154,4.416,47
1635,11/2/2018,1.374,9.011,12,4.6,4.123,1.955,20.999
1636,23/10/2018,1.941,13.366,2,1,4.623,5,41.381
1637,2/2/2018,3.013,7.007,12,1,1.251,4.636,35.368
1638,3/2/2018,3.472,12.123,3.038,4.46,1.218,4.156,17
1639,28/2/2018,2.619,20,2.35,4.98,4.155,3.323,38.434
1640,3/2/2018,1.388,14.359,2,4.02,1,1,38.336
1641,12/2/2018,3.201,18.953,11.901,1.78,3.414,4.445,41.111
1642,3/2/2018,1.351,10.614,2,3.31,3.998,2.4,47
1643,28/2/2018,2.464,5,12,3.29,1.647,5,35.657
1644,19/6/2018,1,5,4.301,4.69,1.708,1.759,24.893
1645,12/2/2018,2.47,11.79,7.26,4.8,1,2.633,38.255
1646,1/2/2018,3.152,5,2,2.42,1.627,5,47
1647,20/6/2018,1.669,10.309,12,5,2.801,4.571,17
1648,5/2/2018,4.035,11.278,12,1.93,1,4.177,20.233
1649,12/2/2018,2.56,5,4.933,4.9,5,1,39.015
1650,28/2/2018,2.509,20,4.239,3.55,3.188,4.66,41.153
1651,11/2/2018,1.927,20,2,3.27,1.113,3.461,38.318
1652,3/2/2018,1.439,20,2,3.98,4.281,1.317,41.373
1653,19/6/2018,4.336,10.297,12,1.75,2.624,4.54,21.023
1654,11/2/2018,2.636,16.61,2,3.28,1.077,5,47
1655,11/2/2018,1,14.388,6.158,1,2.468,2.702,20.843
1656,9/2/2018,3.429,10.366,2,3.61,2.066,1,43.12
1657,10/2/2018,2.461,14.318,12,2.63,4.292,4.558,18.561
1658,11/2/2018,4.089,16.246,6.801,2.67,2.872,4.083,26.238
1659,27/2/2018,3.128,13.081,3.811,5,1.902,1,21.126
1660,19/2/2018,1,14.741,2,2.41,1,4.531,17
1661,18/2/2018,1.287,12.636,12,4.68,1.895,3.525,34.166
1662,19/2/2018,3.279,16.46,2,1.88,2.483,3.558,17
1663,12/2/2018,1.359,14.53,12,4.52,4.604,4.411,26.169
1664,3/2/2018,1.773,18.272,2,2.42,3.472,4.172,40.574
1665,3/2/2018,4.008,13.687,12,1.81,2.475,3.338,20.308
1666,6/7/2018,1.052,10.376,12,1.27,4.07,4.683,29.889
1667,11/2/2018,2.498,14.011,3.001,3.27,5,5,47
1668,27/2/2018,2.875,13.322,4.592,3.38,1.862,5,19.48
1669,15/2/2018,3.472,20,5.835,3.31,2.501,1.589,47
1670,1/2/2018,1.499,7.258,2,3.36,2.532,5,47
1671,11/2/2018,2.883,13.131,2,2.63,1,3.412,35.366
1672,28/2/2018,1,10.272,12,1,3.538,3.944,44.249
1673,1/2/2018,1.388,5,2.012,2.87,1.328,4.222,31.489
1674,19/2/2018,4.03,12.207,5.55,3.75,1.995,1,42.862
1675,3/2/2018,4.027,5,5.674,3.94,5,3.346,20.961
1676,12/2/2018,3.392,18.589,6.19,3.4,3.056,2.235,29.413
1677,11/2/2018,5,11.206,4.791,1.48,1.726,1.783,32.788
1678,10/2/2018,1,5,5.787,1,3.516,1,31.289
1679,27/2/2018,1.408,5,2,4.01,2.676,1.061,17
1680,5/7/2018,1.514,5,6.267,4.21,2.981,3.86,33.661
1681,12/2/2018,2.634,18.954,9.069,2.43,4.213,2.369,37.091
1682,20/6/2018,4.256,5,12,3.94,2.588,3.966,47
1683,3/2/2018,2.612,20,8.654,1,4.332,4.488,17.913
1684,19/2/2018,4.063,12.973,8.019,3.43,3.132,4.297,24.172
1685,3/3/2018,2.463,19.385,9.197,4.53,3.97,1.235,17
1686,27/2/2018,4.61,5.323,4.255,2.57,4.009,3.997,17
1687,4/2/2018,2.284,20,2.754,2.46,2.522,3.847,41.067
1688,11/2/2018,2.607,16.02,6.674,3.41,4.027,5,17
1689,9/2/2018,3.439,5.049,2,3.29,3.168,1.518,38.29
1690,4/2/2018,2.46,5,11.928,3.27,1,1.659,20.493
1691,9/2/2018,3.388,16.067,2.857,1,1,3.52,21.783
1692,20/2/2018,1.38,11.483,4.062,3.3,1.395,3.364,25.498
1693,28/2/2018,4.441,14.166,2,2.83,1,3.402,47
1694,26/1/2018,5,5,2,4.5,2.649,3.709,42.661
1695,3/2/2018,4.652,8.989,2,3.95,3.518,1.944,47
1696,11/2/2018,2.865,11.146,7.09,4.54,4.476,3.926,27.652
1697,11/2/2018,3.74,5,3.815,5,4.523,3.443,17
1698,11/2/2018,4.124,5,2,3.92,3.534,2.396,22.939
1699,11/2/2018,2.85,5,2,2.42,3.324,4.646,31.345
1700,21/10/2018,4.199,20,2,1.99,2.575,4.765,23.984
1701,27/2/2018,1.738,15.865,2,1,2.468,4.25,36.178
1702,6/7/2018,4.616,20,7.894,5,4.922,1.126,26.076
1703,1/2/2018,3.039,6.694,6.045,3.28,3.411,3.407,47
1704,27/2/2018,3.507,10.691,2,3.56,4.065,4.12,21.488
1705,20/2/2018,4.433,20,7.562,1.39,3.428,5,27.878
1706,27/2/2018,5,5,2.279,1.43,1,2.59,41.62
1707,28/2/2018,1,17.603,2,3.27,3.259,4.227,40.232
1708,27/2/2018,1,10.674,2,3.27,3.212,3.43,47
1709,3/2/2018,3.341,19.044,2.895,1.72,1,4.046,41.156
1710,9/2/2018,4.144,5,2.891,2.48,3.517,5,27.964
1711,11/2/2018,1,10.354,11.306,4.6,3.892,3.438,44.023
1712,3/2/2018,4.159,10.739,12,5,1.843,3.692,26.959
1713,11/2/2018,3.093,10.664,7.189,1,4.621,2.872,45.201
1714,27/2/2018,4.064,13.164,2,3.96,1,3.667,19.05
1715,11/2/2018,2.719,5,7.885,3.97,1.908,2.037,47
1716,7/2/2018,3.857,7.231,2,4.05,4.099,1.444,47
1717,25/10/2018,3.293,5,8.15,2.56,3.895,1,26.549
1718,11/11/2018,2.497,10.431,3.295,3.35,2.153,1.46,21.375
